frame_id,class,x,y,w,h,R
000113.jpg,person,1100,1665,166,374,-10
000114.jpg,person,510,507,173,348,-38
000114.jpg,person,1100,1665,166,374,-10
000115.jpg,person,515,502,173,347,-39
000115.jpg,person,1101,1663,168,376,-10
000116.jpg,person,519,498,172,346,-39
000116.jpg,person,1103,1660,170,377,-10
000117.jpg,person,524,494,172,345,-40
000117.jpg,person,1104,1658,172,379,-10
000118.jpg,person,528,490,171,344,-41
000118.jpg,person,1105,1655,174,380,-10
000119.jpg,person,533,485,170,343,-42
000119.jpg,person,1106,1653,176,382,-10
000120.jpg,person,537,481,170,341,-43
000120.jpg,person,1107,1650,178,383,-10
000121.jpg,person,542,477,169,340,-44
000121.jpg,person,1108,1648,180,385,-10
000122.jpg,person,546,473,169,339,-45
000122.jpg,person,1110,1645,182,386,-10
000123.jpg,person,551,468,168,338,-45
000123.jpg,person,1111,1643,184,388,-10
000124.jpg,person,555,464,168,337,-46
000124.jpg,person,1112,1640,185,389,-10
000125.jpg,person,560,460,167,336,-47
000125.jpg,person,1113,1638,187,391,-10
000126.jpg,person,564,456,166,335,-48
000126.jpg,person,1114,1635,189,392,-10
000127.jpg,person,569,452,166,334,-49
000127.jpg,person,1115,1633,191,394,-10
000128.jpg,person,573,447,165,333,-50
000128.jpg,person,1117,1630,193,395,-10
000129.jpg,person,578,443,165,332,-50
000129.jpg,person,1118,1628,195,397,-10
000130.jpg,person,578,443,165,332,-50
000130.jpg,person,1118,1628,195,397,-10
000131.jpg,person,583,440,166,333,-49
000131.jpg,person,1118,1622,197,404,-10
000132.jpg,person,589,437,167,335,-47
000132.jpg,person,1119,1616,198,411,-10
000133.jpg,person,594,433,168,336,-45
000133.jpg,person,1120,1610,200,418,-10
000134.jpg,person,600,430,170,337,-43
000134.jpg,person,1120,1605,202,425,-10
000135.jpg,person,605,427,171,338,-41
000135.jpg,person,1121,1599,203,432,-10
000136.jpg,person,611,424,172,340,-39
000136.jpg,person,1122,1593,205,439,-10
000137.jpg,person,616,421,173,341,-37
000137.jpg,person,1122,1587,206,446,-10
000138.jpg,person,621,417,175,342,-35
000138.jpg,person,1123,1581,208,453,-10
000139.jpg,person,627,414,176,344,-34
000139.jpg,person,1124,1575,209,460,-10
000140.jpg,person,632,411,177,345,-32
000140.jpg,person,1124,1570,211,467,-10
000141.jpg,person,638,408,178,346,-30
000141.jpg,person,1125,1564,213,474,-10
000142.jpg,person,643,404,179,348,-28
000142.jpg,person,1126,1558,214,481,-10
000143.jpg,person,643,404,179,348,-28
000143.jpg,person,1126,1558,214,481,-10
000144.jpg,person,649,400,179,343,-27
000144.jpg,person,1125,1551,216,482,-10
000145.jpg,person,654,395,179,339,-27
000145.jpg,person,1124,1544,219,484,-10
000146.jpg,person,660,390,179,335,-26
000146.jpg,person,1123,1537,221,485,-10
000147.jpg,person,665,386,178,330,-26
000147.jpg,person,1122,1530,223,486,-10
000148.jpg,person,671,381,178,326,-25
000148.jpg,person,1121,1523,225,488,-10
000149.jpg,person,676,376,178,322,-25
000149.jpg,person,1120,1516,227,489,-10
000150.jpg,person,674,345,191,259,-24
000150.jpg,person,1128,1529,219,450,-10
000151.jpg,person,681,342,190,259,-24
000151.jpg,person,1125,1521,221,451,-10
000152.jpg,person,687,340,189,259,-23
000152.jpg,person,1123,1514,223,452,-10
000153.jpg,person,694,338,188,260,-23
000153.jpg,person,1121,1506,225,453,-10
000154.jpg,person,700,335,187,260,-22
000154.jpg,person,1118,1499,228,454,-10
000155.jpg,person,707,333,186,260,-22
000155.jpg,person,1116,1491,230,456,-10
000156.jpg,person,713,330,185,261,-22
000156.jpg,person,1113,1476,233,471,-10
000157.jpg,person,720,327,184,261,-21
000157.jpg,person,1109,1462,236,487,-10
000158.jpg,person,726,324,183,262,-21
000158.jpg,person,1106,1447,239,503,-10
000159.jpg,person,733,322,182,262,-20
000159.jpg,person,1107,1440,247,503,-10
000160.jpg,person,739,320,181,262,-20
000160.jpg,person,1107,1432,255,503,-10
000161.jpg,person,746,319,180,263,-20
000161.jpg,person,1107,1425,263,502,-10
000162.jpg,person,752,317,179,263,-19
000162.jpg,person,1108,1418,270,502,-10
000163.jpg,person,759,314,178,263,-19
000163.jpg,person,1097,1413,254,501,-10
000164.jpg,person,765,312,177,264,-18
000164.jpg,person,1094,1424,250,467,-10
000165.jpg,person,772,310,176,264,-18
000165.jpg,person,1092,1416,252,468,-10
000166.jpg,person,778,307,176,265,-18
000166.jpg,person,1089,1409,255,469,-10
000167.jpg,person,785,305,175,265,-17
000167.jpg,person,1087,1401,257,470,-10
000168.jpg,person,792,303,177,266,-17
000168.jpg,person,1084,1394,261,470,-9
000169.jpg,person,799,301,180,266,-17
000169.jpg,person,1081,1387,264,469,-7
000170.jpg,person,807,298,182,267,-16
000170.jpg,person,1079,1381,268,469,-6
000171.jpg,person,814,296,185,268,-16
000171.jpg,person,1076,1374,271,468,-4
000172.jpg,person,822,294,187,269,-16
000172.jpg,person,1073,1367,275,468,-3
000173.jpg,person,829,291,190,269,-15
000173.jpg,person,1070,1360,278,468,-1
000174.jpg,person,837,289,192,270,-15
000174.jpg,person,1068,1354,282,467,0
000175.jpg,person,844,287,195,271,-15
000175.jpg,person,1065,1347,285,467,2
000176.jpg,person,851,285,197,272,-14
000176.jpg,person,1062,1340,289,466,4
000177.jpg,person,851,285,197,272,-14
000177.jpg,person,1061,1326,294,495,4
000178.jpg,person,859,287,197,273,-16
000178.jpg,person,1052,1313,299,486,0
000179.jpg,person,866,289,197,274,-18
000179.jpg,person,1044,1300,303,477,-3
000180.jpg,person,873,291,197,275,-20
000180.jpg,person,1036,1287,308,468,-6
000181.jpg,person,880,293,196,276,-22
000181.jpg,person,1028,1274,312,460,-9
000182.jpg,person,887,296,196,277,-23
000182.jpg,person,1020,1261,317,451,-12
000183.jpg,person,894,298,196,278,-25
000183.jpg,person,1011,1249,321,442,-15
000184.jpg,person,904,294,182,280,-25
000184.jpg,person,1002,1234,321,442,-15
000185.jpg,person,911,295,184,282,-24
000185.jpg,person,999,1226,323,433,-15
000186.jpg,person,918,296,186,284,-22
000186.jpg,person,996,1218,324,424,-15
000187.jpg,person,925,296,188,286,-20
000187.jpg,person,992,1210,326,415,-15
000188.jpg,person,932,297,190,288,-19
000188.jpg,person,989,1202,328,405,-15
000189.jpg,person,939,298,192,290,-17
000189.jpg,person,985,1195,329,396,-15
000190.jpg,person,945,299,194,292,-16
000190.jpg,person,982,1187,331,387,-15
000191.jpg,person,952,299,196,294,-14
000191.jpg,person,978,1179,333,378,-15
000192.jpg,person,959,300,197,296,-12
000192.jpg,person,975,1171,335,368,-15
000193.jpg,person,966,301,199,298,-11
000193.jpg,person,971,1164,336,359,-15
000194.jpg,person,973,302,201,300,-9
000194.jpg,person,968,1156,338,350,-15
000195.jpg,person,980,303,203,302,-8
000195.jpg,person,964,1148,340,340,-15
000196.jpg,person,987,303,205,304,-6
000196.jpg,person,961,1140,331,341,75
000197.jpg,person,994,304,207,305,-5
000197.jpg,person,957,1132,322,343,75
000198.jpg,person,994,304,207,305,-5
000198.jpg,person,947,1117,322,343,75
000199.jpg,person,998,310,207,314,-5
000199.jpg,person,943,1110,322,343,75
000200.jpg,person,1002,315,206,322,-5
000200.jpg,person,938,1103,322,343,75
000201.jpg,person,1006,321,206,331,-5
000201.jpg,person,933,1096,322,343,75
000202.jpg,person,1010,326,205,339,-5
000202.jpg,person,929,1089,322,343,75
000203.jpg,person,1014,332,205,348,-5
000203.jpg,person,924,1081,322,343,75
000204.jpg,person,1018,338,204,356,-5
000204.jpg,person,919,1074,322,343,75
000205.jpg,person,1022,343,204,365,-5
000205.jpg,person,915,1067,322,343,75
000206.jpg,person,1027,349,203,373,-5
000206.jpg,person,910,1060,322,343,75
000207.jpg,person,1031,354,203,381,-5
000207.jpg,person,905,1053,322,343,75
000208.jpg,person,1035,360,202,390,-5
000208.jpg,person,900,1045,322,343,75
000209.jpg,person,1038,369,206,385,-5
000209.jpg,person,913,1028,322,343,75
000210.jpg,person,1038,374,200,403,-5
000210.jpg,person,896,1027,322,343,75
000211.jpg,person,1051,380,213,401,-5
000211.jpg,person,933,988,320,344,-62
000211.jpg,person,1111,1782,69,244,-9
000212.jpg,person,1055,380,217,402,-5
000212.jpg,person,937,985,320,344,-55
000212.jpg,person,1105,1786,78,219,-11
000213.jpg,person,1059,380,220,403,-5
000213.jpg,person,942,981,321,344,-47
000213.jpg,person,1097,1785,68,234,-9
000214.jpg,person,1064,381,223,403,-5
000214.jpg,person,947,977,321,344,-40
000214.jpg,person,1098,1783,70,239,-8
000215.jpg,person,1064,377,226,404,-5
000215.jpg,person,946,980,321,344,-33
000215.jpg,person,1092,1784,88,253,-11
000216.jpg,person,1068,379,230,405,-5
000216.jpg,person,957,955,321,344,-56
000216.jpg,person,1086,1786,75,257,-11
000217.jpg,person,1071,380,233,405,-5
000217.jpg,person,957,968,321,344,-80
000217.jpg,person,1083,1786,93,253,-11
000218.jpg,person,1075,382,236,406,-5
000218.jpg,person,962,963,322,343,77
000218.jpg,person,1074,1775,96,247,-10
000219.jpg,person,1079,383,240,407,-5
000219.jpg,person,968,957,322,343,53
000219.jpg,person,1082,1771,138,253,-13
000220.jpg,person,1089,384,243,407,-5
000220.jpg,person,974,955,322,343,75
000220.jpg,person,1076,1772,127,260,-7
000221.jpg,person,1092,392,243,414,-3
000221.jpg,person,988,954,322,343,75
000221.jpg,person,1072,1771,127,260,-6
000222.jpg,person,1095,400,244,421,-1
000222.jpg,person,1002,952,322,343,75
000222.jpg,person,1069,1771,127,260,-5
000223.jpg,person,1098,408,244,427,0
000223.jpg,person,1015,951,322,343,75
000223.jpg,person,1065,1770,127,260,-4
000224.jpg,person,1101,416,245,434,2
000224.jpg,person,1029,949,322,343,75
000224.jpg,person,1061,1770,127,260,-3
000225.jpg,person,1104,425,245,441,3
000225.jpg,person,1042,947,322,343,75
000225.jpg,person,1057,1769,127,260,-2
000226.jpg,person,1109,430,245,446,3
000226.jpg,person,1054,947,323,350,75
000226.jpg,person,1053,1768,128,258,-3
000227.jpg,person,1115,435,244,452,3
000227.jpg,person,1066,947,323,357,75
000227.jpg,person,1050,1768,129,256,-4
000228.jpg,person,1120,440,243,458,3
000228.jpg,person,1078,946,324,364,75
000228.jpg,person,1046,1767,129,254,-6
000229.jpg,person,1125,446,242,464,2
000229.jpg,person,1090,946,325,371,75
000229.jpg,person,1042,1767,130,252,-7
000230.jpg,person,1140,458,257,440,-5
000230.jpg,person,1093,942,327,381,75
000230.jpg,person,1038,1767,114,245,-7
000231.jpg,person,1146,459,257,439,-3
000231.jpg,person,1106,945,325,380,77
000231.jpg,person,1038,1763,117,251,-6
000232.jpg,person,1151,460,258,438,-2
000232.jpg,person,1118,948,324,378,79
000232.jpg,person,1037,1759,120,257,-5
000233.jpg,person,1157,461,258,437,-1
000233.jpg,person,1131,951,322,377,81
000233.jpg,person,1036,1755,123,263,-4
000234.jpg,person,1162,463,258,436,1
000234.jpg,person,1143,954,320,375,82
000234.jpg,person,1036,1751,126,269,-3
000235.jpg,person,1168,464,259,435,2
000235.jpg,person,1156,957,318,374,84
000235.jpg,person,1035,1747,129,275,-2
000236.jpg,person,1174,465,259,434,3
000236.jpg,person,1168,960,316,373,86
000236.jpg,person,1034,1743,132,281,-1
000237.jpg,person,1179,467,260,433,4
000237.jpg,person,1180,963,315,371,88
000237.jpg,person,1034,1739,135,287,0
000238.jpg,person,1185,468,260,432,6
000238.jpg,person,1193,966,313,370,90
000238.jpg,person,1033,1735,138,293,1
000239.jpg,person,1190,469,261,431,7
000239.jpg,person,1205,970,311,368,-88
000239.jpg,person,1032,1731,141,299,2
000240.jpg,person,1190,469,261,431,7
000240.jpg,person,1205,970,311,368,-88
000240.jpg,person,1032,1731,141,299,2
000241.jpg,person,1191,478,261,437,7
000241.jpg,person,1212,973,310,376,-87
000241.jpg,person,1030,1730,141,299,2
000242.jpg,person,1192,488,260,443,7
000242.jpg,person,1218,977,308,383,-86
000242.jpg,person,1028,1728,141,299,2
000243.jpg,person,1193,497,260,450,7
000243.jpg,person,1225,980,306,390,-85
000243.jpg,person,1027,1727,141,299,2
000244.jpg,person,1194,506,260,456,7
000244.jpg,person,1232,984,305,398,-84
000244.jpg,person,1025,1726,141,299,2
000245.jpg,person,1195,515,259,462,7
000245.jpg,person,1238,987,303,405,-83
000245.jpg,person,1023,1725,141,299,2
000246.jpg,person,1196,524,259,469,7
000246.jpg,person,1245,991,302,412,-82
000246.jpg,person,1021,1723,141,299,2
000247.jpg,person,1196,533,259,475,7
000247.jpg,person,1251,994,300,420,-81
000247.jpg,person,1019,1722,141,299,2
000248.jpg,person,1197,542,258,481,7
000248.jpg,person,1258,998,299,427,-81
000248.jpg,person,1017,1721,141,299,2
000249.jpg,person,1198,552,258,488,7
000249.jpg,person,1264,1001,297,434,-80
000249.jpg,person,1015,1720,141,299,2
000250.jpg,person,1198,552,258,488,7
000250.jpg,person,1247,999,297,434,-80
000250.jpg,person,1015,1720,141,299,2
000251.jpg,person,1200,556,262,483,7
000251.jpg,person,1255,1004,295,440,-78
000251.jpg,person,1013,1716,142,303,2
000252.jpg,person,1201,559,267,479,7
000252.jpg,person,1263,1008,293,446,-77
000252.jpg,person,1011,1713,143,306,2
000253.jpg,person,1203,563,271,474,7
000253.jpg,person,1271,1012,290,452,-76
000253.jpg,person,1010,1709,144,309,2
000254.jpg,person,1205,567,275,470,7
000254.jpg,person,1279,1016,288,458,-74
000254.jpg,person,1008,1705,145,312,2
000255.jpg,person,1206,571,280,465,7
000255.jpg,person,1287,1020,285,464,-73
000255.jpg,person,1006,1702,146,316,2
000256.jpg,person,1208,575,284,461,7
000256.jpg,person,1295,1025,283,470,-71
000256.jpg,person,1004,1698,147,319,2
000257.jpg,person,1210,579,288,456,7
000257.jpg,person,1303,1029,281,476,-70
000257.jpg,person,1002,1695,148,322,2
000258.jpg,person,1211,583,293,452,7
000258.jpg,person,1311,1033,278,482,-69
000258.jpg,person,1000,1691,149,326,2
000259.jpg,person,1213,587,297,447,7
000259.jpg,person,1319,1037,276,488,-67
000259.jpg,person,999,1687,150,329,2
000260.jpg,person,1215,591,301,443,7
000260.jpg,person,1327,1041,273,494,-66
000260.jpg,person,997,1684,151,332,2
000261.jpg,person,1216,595,305,438,7
000261.jpg,person,1335,1046,271,500,-65
000261.jpg,person,995,1680,152,336,2
000262.jpg,person,1216,595,305,438,7
000262.jpg,person,1343,1061,293,521,-65
000262.jpg,person,995,1680,152,336,2
000263.jpg,person,1214,604,305,445,8
000263.jpg,person,1344,1071,292,516,-65
000263.jpg,person,995,1675,156,341,3
000264.jpg,person,1212,612,305,452,10
000264.jpg,person,1345,1081,290,511,-65
000264.jpg,person,995,1669,159,347,4
000265.jpg,person,1210,621,305,459,11
000265.jpg,person,1346,1090,289,506,-65
000265.jpg,person,995,1664,163,352,5
000266.jpg,person,1208,629,305,466,12
000266.jpg,person,1347,1100,288,501,-65
000266.jpg,person,995,1658,167,357,5
000267.jpg,person,1206,638,305,473,14
000267.jpg,person,1348,1110,287,496,-65
000267.jpg,person,995,1653,171,363,6
000268.jpg,person,1203,646,305,480,15
000268.jpg,person,1348,1119,285,490,-65
000268.jpg,person,995,1648,174,368,7
000269.jpg,person,1201,655,305,487,17
000269.jpg,person,1349,1129,284,485,-65
000269.jpg,person,995,1642,178,374,8
000270.jpg,person,1199,663,305,494,18
000270.jpg,person,1350,1139,283,480,-65
000270.jpg,person,995,1637,182,379,9
000271.jpg,person,1198,668,305,491,18
000271.jpg,person,1349,1147,284,482,-63
000271.jpg,person,994,1634,184,380,8
000272.jpg,person,1197,673,305,489,18
000272.jpg,person,1348,1156,285,483,-60
000272.jpg,person,993,1632,187,380,8
000273.jpg,person,1196,679,305,487,19
000273.jpg,person,1346,1164,286,484,-58
000273.jpg,person,991,1629,190,381,7
000274.jpg,person,1195,684,305,485,19
000274.jpg,person,1345,1173,287,485,-56
000274.jpg,person,990,1627,193,382,6
000275.jpg,person,1193,689,305,482,19
000275.jpg,person,1344,1181,289,486,-54
000275.jpg,person,989,1624,195,382,6
000276.jpg,person,1192,694,305,480,19
000276.jpg,person,1343,1190,290,487,-52
000276.jpg,person,988,1622,198,383,5
000277.jpg,person,1191,699,305,478,20
