epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,1294.01,1.16763,0.61372,1.79759,0.94124,0.89274,0.95677,0.56704,3.18468,1.29635,3.26119,0.0006932,0.0006932,0.0006932
35,1330.87,1.10963,0.57907,1.77545,0.9758,0.90635,0.96267,0.557,3.19379,1.15993,3.22431,0.0006536,0.0006536,0.0006536
36,1370.08,1.09102,0.55858,1.77518,0.9564,0.90157,0.95542,0.5649,3.11898,1.1885,3.30388,0.000614,0.000614,0.000614
37,1409.55,1.06278,0.56898,1.77265,0.96544,0.8876,0.94617,0.57059,3.12293,1.24702,3.30838,0.0005744,0.0005744,0.0005744
38,1447.33,1.04429,0.56291,1.76274,0.96695,0.89852,0.95932,0.57872,3.10971,1.27624,3.27189,0.0005348,0.0005348,0.0005348
39,1486.18,1.04263,0.55704,1.76464,0.96506,0.87669,0.94835,0.5739,3.11977,1.28557,3.31543,0.0004952,0.0004952,0.0004952
40,1524.31,1.04358,0.53842,1.7438,0.9664,0.8876,0.95025,0.56822,3.20142,1.36227,3.42435,0.0004556,0.0004556,0.0004556
41,1561.57,0.88184,0.41315,1.69152,0.96737,0.90559,0.95819,0.56825,3.17322,1.24726,3.34519,0.000416,0.000416,0.000416
42,1597.17,0.79279,0.37574,1.6651,0.9783,0.89017,0.95635,0.56774,3.16532,1.27883,3.39206,0.0003764,0.0003764,0.0003764
43,1633.04,0.7674,0.35904,1.66148,0.96759,0.90122,0.94851,0.5695,3.18667,1.24299,3.40816,0.0003368,0.0003368,0.0003368
44,1667.29,0.77491,0.36477,1.676,0.95879,0.90366,0.95308,0.57127,3.18919,1.23529,3.39507,0.0002972,0.0002972,0.0002972
45,1702.94,0.74274,0.35922,1.65533,0.96472,0.89569,0.94898,0.5675,3.19594,1.18703,3.42253,0.0002576,0.0002576,0.0002576
46,1738.29,0.70642,0.33865,1.6293,0.96948,0.89017,0.95218,0.57007,3.22018,1.25439,3.48021,0.000218,0.000218,0.000218
47,1772.97,0.70068,0.33346,1.65275,0.97181,0.88569,0.94852,0.57103,3.19471,1.33735,3.4574,0.0001784,0.0001784,0.0001784
48,1808.74,0.69045,0.33042,1.6303,0.97111,0.89788,0.9528,0.56924,3.19986,1.27273,3.48599,0.0001388,0.0001388,0.0001388
49,1844.3,0.66811,0.3246,1.62278,0.97478,0.89358,0.94938,0.56979,3.20515,1.29866,3.5186,9.92e-05,9.92e-05,9.92e-05
50,1878.99,0.64036,0.31793,1.61809,0.9694,0.88825,0.94583,0.57124,3.18748,1.30442,3.51018,5.96e-05,5.96e-05,5.96e-05
